hcho,gps_num,app,gps_alt,s_d2,odm,s_d0,s_d1,s_h0,SiteName,gps_fix,s_gg,gps_lat,s_t0,timestamp,adf_status,gps_lon,SiteAddr,date,device_id,s_g8,c_d0,fw_ver,s_g1,time,model,c_d0_method,name,area
0,9,AirBox,2,13,acelink.edimax,29,31,87,嘉義縣縣立沙坑國小,1,0,23.485855,27.2,2020-05-23T02:17:56Z,0,120.563627,嘉義縣竹崎鄉沙坑村57之2號,2020-05-23,08BEAC0A0100,0,22.17,v1.06,0,02:17:56,AI-1003WN,BRR/30/12.78,,
0,9,AirBox,2,4,acelink.edimax,6,7,87,桃園市市立快樂國小,1,0,25.01886,25.7,2020-05-23T02:15:36Z,0,121.3149216,桃園市桃園區大有路789號,2020-05-23,08BEAC0A00F4,0,4.63,v1.06,0,02:15:36,AI-1003WN,BRR/30/2.82,,
0,9,AirBox,2,21,acelink.edimax,33,39,100,雲林縣縣立東光國小,1,0,23.6518196,27.7,2020-05-23T02:12:57Z,0,120.2722556,雲林縣四湖鄉溪底村成功路十一號,2020-05-23,08BEAC0A00F6,0,18.95,v1.06,0,02:12:57,AI-1003WN,LR/14/20.69,,
0,9,AirBox,2,17,acelink.edimax,33,39,99,臺南市市立新營國小,1,0,23.3066693153,27.1,2020-05-23T02:16:59Z,0,120.316803306,臺南市新營區中正路4號,2020-05-23,08BEAC0A00F0,0,N/A,v1.06,0,02:16:59,AI-1003WN,N/A,,
0,9,AirBox,2,15,acelink.edimax,20,20,95,雲林縣縣立光復國小,1,0,23.74082309,27.7,2020-05-23T02:14:46Z,0,120.40158,雲林縣虎尾鎮墾地里光復莊11鄰卅九號,2020-05-23,08BEAC0A0296,0,36.58,v1.06,0,02:14:46,AI-1003WN,Theil-Sen/21/14.95,,
0,9,AirBox,2,20,acelink.edimax,37,51,100,雲林縣縣立舊庄國小,1,0,23.63316893,27.1,2020-05-23T02:15:02Z,0,120.4016321,雲林縣大埤鄉怡然村怡然路九二號,2020-05-23,08BEAC0A0294,0,64.16,v1.06,0,02:15:02,AI-1003WN,Theil-Sen/21/17.02,,
0,9,AirBox,2,18,acelink.edimax,32,37,100,臺南市市立日新國小,1,0,22.97315514,27.7,2020-05-23T02:17:41Z,0,120.1900188,臺南市南區金華路一段473號,2020-05-23,08BEAC0A00F8,0,15.37,v1.06,0,02:17:41,AI-1003WN,BRR/14/1.81,,
0,9,AirBox,2,12,acelink.edimax,23,32,100,臺南市市立左鎮國小,1,0,23.05596794,28.2,2020-05-23T02:14:40Z,0,120.4041667,臺南市左鎮區中正里7號,2020-05-23,08BEAC0A0292,0,10.74,v1.06,0,02:14:40,AI-1003WN,BRR/14/22.1,,
0,9,AirBox,2,0,acelink.edimax,0,0,100,雲林縣縣立三和國小,1,0,23.750533,27.3,2020-05-23T02:18:08Z,0,120.4082809,雲林縣二崙鄉三和村二鄰十七號,2020-05-23,08BEAC0A0290,0,3.98,v1.06,0,02:18:08,AI-1003WN,Theil-Sen/21/14.57,,
,9,AirBox,2,19,,25,27,72,08BEAC02862E,1,,24.13984523,31,2020-05-23T02:15:27Z,,120.6018107,N/A,2020-05-23,08BEAC02862E,,15.07,,,02:15:27,,BRR/30/4.21,寶文,taichuang
